City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nadym,65.5333,72.5167,16.24,82,60,1.44,RU,1722464511
1,saipan,15.1355,145.701,30.39,74,40,3.09,MP,1722464614
2,grytviken,-54.2811,-36.5092,-8.27,75,51,7.33,GS,1722464615
3,urengoy,65.9667,78.3667,16.03,88,35,2.31,RU,1722464617
4,jamestown,42.097,-79.2353,28.62,63,0,3.09,US,1722464618
5,dudinka,69.4058,86.1778,16.33,60,6,2.69,RU,1722464619
6,juliaca,-15.5,-70.1333,15.99,18,40,1.54,PE,1722464620
7,chonchi,-42.6128,-73.8092,8.56,93,100,5.33,CL,1722464622
8,bethel,41.3712,-73.414,29.05,73,100,3.6,US,1722464623
9,cockburn town,21.4612,-71.1419,31.98,74,40,7.2,TC,1722464624
10,kill devil hills,36.0307,-75.676,31.1,66,0,5.66,US,1722464625
11,menaka,15.9182,2.4022,27.13,67,100,4.97,ML,1722464626
12,puerto ayora,-0.7393,-90.3518,25.98,89,79,4.49,EC,1722464628
13,lawton,34.6087,-98.3903,39.95,29,0,7.2,US,1722464629
14,whitehorse,60.7161,-135.0538,12.12,82,100,1.54,CA,1722464280
15,port alfred,-33.5906,26.891,11.52,74,0,6.41,ZA,1722464631
16,uturoa,-16.7333,-151.4333,23.72,57,42,7.96,PF,1722464633
17,tura,25.5198,90.2201,24.31,98,68,2.3,IN,1722464634
18,qaqortoq,60.7167,-46.0333,13.65,43,0,4.51,GL,1722464635
19,margaret river,-33.95,115.0667,11.29,60,96,9.81,AU,1722464355
20,longyearbyen,78.2186,15.6401,10.91,82,0,0.0,SJ,1722464638
21,suva,-18.1416,178.4415,23.71,94,75,3.95,FJ,1722464451
22,tiksi,71.6872,128.8694,2.94,76,98,2.82,RU,1722464640
23,adamstown,-25.066,-130.1015,22.41,85,34,10.4,PN,1722464641
24,tarawa,1.419,172.984,28.22,75,5,4.24,KI,1722464643
25,nisa,43.7031,7.2661,27.82,64,0,3.09,FR,1722464644
26,ma'an,26.9775,110.7211,24.48,92,99,0.63,CN,1722464645
27,ilulissat,69.2167,-51.1,7.01,76,40,1.03,GL,1722464646
28,kenai,60.5544,-151.2583,20.57,45,0,4.63,US,1722464458
29,edinburgh of the seven seas,-37.0676,-12.3116,11.5,57,15,7.55,SH,1722464649
30,popasna,48.6333,38.378,16.56,57,39,1.49,UA,1722464651
31,vilyuysk,63.7553,121.6247,11.72,54,89,2.27,RU,1722464652
32,floro,61.5996,5.0328,12.98,76,100,2.06,NO,1722464653
33,crane,31.3974,-102.3501,38.11,26,0,9.11,US,1722464655
34,avarua,-21.2078,-159.775,23.03,53,40,3.6,CK,1722464656
35,beeville,28.4008,-97.7483,33.12,55,0,6.69,US,1722464657
36,ceeldheer,3.8488,47.1806,23.63,87,61,6.88,SO,1722464658
37,port-aux-francais,-49.35,70.2167,5.07,99,100,13.54,TF,1722464660
38,wailua homesteads,22.0669,-159.378,28.44,68,0,7.2,US,1722464661
39,chui,-33.6971,-53.4616,13.7,90,100,2.96,UY,1722464662
40,la passe,45.5549,-0.8967,22.13,94,0,3.69,FR,1722464663
41,flin flon,54.7682,-101.865,28.91,37,40,3.6,CA,1722464664
42,obo,5.3998,26.4869,20.4,98,100,1.12,CF,1722464666
43,olonkinbyen,70.9221,-8.7187,5.65,94,100,4.25,SJ,1722464667
44,dzhetygara,52.1908,61.2006,20.96,43,100,3.86,KZ,1722464668
45,waitangi,-43.9535,-176.5597,9.34,92,100,0.89,NZ,1722464669
46,yellowknife,62.456,-114.3525,16.34,71,75,9.26,CA,1722464671
